location,id,IdLugar,Nombre,Descripcion,Direccion,Municipio,Estado,Facebook,homepage,Latitud,Longitud,websitecontact,Categoria,Genero,Fecha,Hora,Lugar
Ciudad de México,1afzaragke0a0us,KovZpZA6EkkA,Banda MS de Sergio Lizarraga,null,Paseo de la Reforma # 50 Col Polanco V Sección,Ciudad de México,Distrito Federal,null,null,19.424648,-99.19484,https://www.ticketmaster.com.mx/banda-ms-de-sergio-lizarraga-ciudad-de-mexico-distrito-federal-12-11-2021/event/14005789A4264371,Music,Hip-Hop/Rap,2021-12-11,20:30:00,Auditorio Nacional
Ciudad de México,1afzaragkejr7pw,KovZpZA6EkkA,Banda MS de Sergio Lizarraga,null,Paseo de la Reforma # 50 Col Polanco V Sección,Ciudad de México,Distrito Federal,[{'url': 'https://www.facebook.com/BANDAMSOFICIAL'}],[{'url': 'http://www.bandams.com.mx/'}],19.424648,-99.19484,https://www.ticketmaster.com.mx/banda-ms-de-sergio-lizarraga-ciudad-de-mexico-distrito-federal-12-12-2021/event/14005789A6BC45B2,Music,Latin,2021-12-12,20:30:00,Auditorio Nacional
Ciudad de México,1av8zpkgkwhexr_,KovZpZA6EtdA,Armando Palomas Presenta: Suite Florencia,"Armando Palomas, el cantautor con un culto especial, uno de los personajes más emblemáticos del Rock Mexicano, se presentará este sábado 27 de Junio 2020 presentando su nuevo disco en el Lunario del Auditorio Nacional, recinto que se ha convertido en su casa de la Ciudad de México desde hace ya algunos años. ""Suite Florencia"" es el título de este nuevo material, el número veintiocho en su carrera, un nuevo disco cargado de honestidad, congruencia y esa nostalgia que lo caracterizan, canciones que el Cerrajero de Corazones escribió en esa Suite donde suele hospedarse, las mismas que hablan de sus fiestas y lágrimas en ese lugar, esa habitación donde lo único que está prohibido, es dormir.",Costado poniente del Auditorio Nacional frente al Campo,Ciudad de México,Distrito Federal,null,null,19.424682,-99.1954,https://www.ticketmaster.com.mx/armando-palomas-presenta-suite-florencia-ciudad-de-mexico-distrito-federal-02-05-2022/event/1400586C9B0A2799,Music,Latin,2022-02-05,21:00:00,El Lunario del Auditorio Nacional
Ciudad de México,17azvpg6uwvhyy7,KovZpZA6EkkA,Willie Colon,"Willie Colón, es un músico de salsa, cantante, compositor y activista político puertorriqueño. Comenzó su carrera como trombonista, y cantante! Regresa a México para presentarse al recinto más importante de la Ciudad ""El Auditorio Nacional"" para deleitarnos con tremendos éxitos que lo han llevado a ser The King of Salsa.",Paseo de la Reforma # 50 Col Polanco V Sección,Ciudad de México,Distrito Federal,null,null,19.424648,-99.19484,https://www.ticketmaster.com.mx/willie-colon-ciudad-de-mexico-distrito-federal-02-05-2022/event/140056DC81F30C04,Music,Latin,2022-02-05,20:30:00,Auditorio Nacional
Ciudad de México,1afza-kgkdigu9p,KovZpZA6EkkA,Lemongrass,null,Paseo de la Reforma # 50 Col Polanco V Sección,Ciudad de México,Distrito Federal,null,null,19.424648,-99.19484,https://www.ticketmaster.com.mx/lemongrass-ciudad-de-mexico-distrito-federal-02-06-2022/event/14005846E830D5D6,Music,Ballads/Romantic,2022-02-06,17:00:00,Auditorio Nacional
Ciudad de México,1afza-vgkdfsb4h,KovZpZA6EkkA,Lucero,null,Paseo de la Reforma # 50 Col Polanco V Sección,Ciudad de México,Distrito Federal,null,null,19.424648,-99.19484,https://www.ticketmaster.com.mx/lucero-ciudad-de-mexico-distrito-federal-06-18-2022/event/14005841D4CFA57C,Music,Ballads/Romantic,2022-06-18,20:30:00,Auditorio Nacional
Ciudad de México,1kazv9qagaggvn3,KovZpZA6EkkA,Sonora Dinamita de Lucho Argaín,"Llega La Sonora Dinamita de Lucho Argain al Auditorio Nacional a festejar 60 años de historia, un show único donde podrás escuchar y bailar los principales éxitos de su carrera como ""Que Bello"", ""El Viejo del Sombrerón"", ""Escándalo"", ""La Parabólica"" y muchos más, habrá grandes invitados, ¡No te lo puedes perder!",Paseo de la Reforma # 50 Col Polanco V Sección,Ciudad de México,Distrito Federal,[{'url': 'https://www.facebook.com/originalsonoradinamita'}],[{'url': 'http://www.originalsonoradinamita.com/'}],19.424648,-99.19484,https://www.ticketmaster.com.mx/sonora-dinamita-de-lucho-argain-ciudad-de-mexico-distrito-federal-09-25-2022/event/140057689C3348D2,Music,Latin,2022-09-25,18:30:00,Auditorio Nacional
México,1av8zpkgkw65o1y,KovZpZAJnJeA,Pachanga Tour Vilma Palma E Vampiros,La gran banda Argentina VILMA PALMA & VAMPIROS vuelve luego de muchos años a presentarse en Ciudad de México; en una noche que promete hacernos vivir un viaje en el tiempo por sus mejores éxitos. Pachanga Tour el nombre de la nueva Gira Internacional de los famosos argentinos nos adelanta lo divertida qué será la noche del 13 de junio en EL PLAZA CONDESA,Juan Escutia #4 Col. Condesa,México,Distrito Federal,null,null,19.4149494,-99.1750336,https://www.ticketmaster.com.mx/pachanga-tour-vilma-palma-e-vampiros-mexico-distrito-federal-06-25-2021/event/1400586C872D12B0,Music,Latin,2021-06-25,20:00:00,El Plaza Condesa
México,1av8z4vgktkzc2e,KovZpZAJnJeA,Danny Ocean,"Danny Ocean es un cantante y productor venezolano de música latina con una fusión de ritmos como el pop, funk, reggae, kizomba y urbano. Desde el lanzamiento del proyecto en 2009, Ocean ha sido nominado a múltiples premios, sin embargo, el reconocimiento internacional lo alcanzó con el tema ""Me rehúso"", lanzado inicialmente de manera independiente en 2016 a través de su canal de YouTube y viralizado por Shazam y Spotify. Ocean fue el primer cantante venezolano en alcanzar las más de mil millones de reproducciones en YouTube y dos mil millones de descargas en todo el mundo en plataformas digitales. El sencillo fue certificado como séptuple platino por PROMUSICAE, lo cual le inspiró a crear una versión en inglés de la canción, llamada ""Baby I won't"". Después de su sencillo debut, Danny lanzó otros temas como ""Dembow"" y ""Vuelve"", así como el sencillo producido por Skrillex, ""Epa Wei"" y ""Looking for"" junto a Digital Farm Animals.",Juan Escutia #4 Col. Condesa,México,Distrito Federal,null,null,19.4149494,-99.1750336,https://www.ticketmaster.com.mx/danny-ocean-mexico-distrito-federal-07-21-2021/event/1400574FC6E2D3E7,Music,Latin,2021-07-21,21:00:00,El Plaza Condesa
México,1av8zp8gkmtievr,KovZpZAJnJeA,Danny Ocean,"Danny Ocean es un cantante y productor venezolano de música latina con una fusión de ritmos como el pop, funk, reggae, kizomba y urbano. Desde el lanzamiento del proyecto en 2009, Ocean ha sido nominado a múltiples premios, sin embargo, el reconocimiento internacional lo alcanzó con el tema ""Me rehúso"", lanzado inicialmente de manera independiente en 2016 a través de su canal de YouTube y viralizado por Shazam y Spotify. Ocean fue el primer cantante venezolano en alcanzar las más de mil millones de reproducciones en YouTube y dos mil millones de descargas en todo el mundo en plataformas digitales. El sencillo fue certificado como séptuple platino por PROMUSICAE, lo cual le inspiró a crear una versión en inglés de la canción, llamada ""Baby I won't"". Después de su sencillo debut, Danny lanzó otros temas como ""Dembow"" y ""Vuelve"", así como el sencillo producido por Skrillex, ""Epa Wei"" y ""Looking for"" junto a Digital Farm Animals.",Juan Escutia #4 Col. Condesa,México,Distrito Federal,null,null,19.4149494,-99.1750336,https://www.ticketmaster.com.mx/danny-ocean-mexico-distrito-federal-07-22-2021/event/1400590DE9A02D1E,Music,Latin,2021-07-22,21:00:00,El Plaza Condesa
México,1afza-0gkemisbq,KovZpZAJnJeA,"Daniel, me estas matando",null,Juan Escutia #4 Col. Condesa,México,Distrito Federal,null,null,19.4149494,-99.1750336,https://www.ticketmaster.com.mx/daniel-me-estas-matando-mexico-distrito-federal-09-05-2021/event/14005864AEB33E9A,Music,World,2021-09-05,21:00:00,El Plaza Condesa
México,1kazvbfwgauhso1,KovZpZAJnJeA,Luciano Pereyra,null,Juan Escutia #4 Col. Condesa,México,Distrito Federal,null,null,19.4149494,-99.1750336,https://www.ticketmaster.com.mx/luciano-pereyra-mexico-distrito-federal-03-19-2022/event/140058532DF3180A,Music,Latin,2022-03-19,20:30:00,El Plaza Condesa
México,g5v8zpnjlcvv4,KovZpZAJllnA,Enrique Ramil,"Más de 15 años de carrera lo distinguen como un artista camaleónico, con una voz que no se puede encasillar. Sus influencias van desde el jazz, el góspel y la copla hasta el bossa nova y los fados portugueses. ""La música me cura, emociona y me hace mejor persona. Eso es lo que deseo provocar en quien me escuche"", sostiene. Luego de su triunfo en Tierra de Talento, firma contrato con AGTE Live Entertainment, empresa radicada en Estados Unidos, lo que constituye un paso en la internacionalización de su carrera. Su primer single de esta nueva etapa, Mentira, ha superado ya 1.400.000 reproducciones en Youtube.","Dakota S/N, Colonia Nápoles",México,Distrito Federal,null,null,19.3934097,-99.1758118,https://www.ticketmaster.com.mx/enrique-ramil-mexico-distrito-federal-06-26-2021/event/14005AA9AB3B4055,Music,Ballads/Romantic,2021-06-26,20:00:00,Pepsi Center WTC
